1000                         294.3                 56.04
1500                         355.8                101.62
2000                         381.2                145.16
2500                         388.3                184.83
3000                         381.5                217.92
3500                         367.4                244.84
4000                         342.4                260.78
4500                         309.0                264.76
5000                         260.2                247.72
5000                         260.2                247.72
